league,name,href,value
Primera Divisió,FC Ordino,https://www.transfermarkt.com/fc-ordino/kader/verein/40270/saison_id/2024,2350000
Primera Divisió,CF Esperança d'Andorra,https://www.transfermarkt.com/cf-esperanca-dandorra/kader/verein/100967/saison_id/2024,1820000
Primera Divisió,FS La Massana,https://www.transfermarkt.com/fs-la-massana/kader/verein/46725/saison_id/2024,1340000
Besta deild,Víkingur Reykjavík,https://www.transfermarkt.com/vikingur-reykjavik/kader/verein/5849/saison_id/2023,4110000
Besta deild,Breidablik Kópavogur,https://www.transfermarkt.com/breidablik-kopavogur/kader/verein/3737/saison_id/2023,3510000
Besta deild,Valur Reykjavík,https://www.transfermarkt.com/valur-reykjavik/kader/verein/1033/saison_id/2023,3370000
Besta deild,Stjarnan Gardabaer,https://www.transfermarkt.com/stjarnan-gardabaer/kader/verein/21875/saison_id/2023,2500000
Besta deild,ÍA Akranes,https://www.transfermarkt.com/ia-akranes/kader/verein/1231/saison_id/2023,2040000
Besta deild,KR Reykjavík,https://www.transfermarkt.com/kr-reykjavik/kader/verein/3237/saison_id/2023,2009999
Besta deild,FH Hafnarfjördur,https://www.transfermarkt.com/fh-hafnarfjordur/kader/verein/1185/saison_id/2023,1910000
Besta deild,Fram Reykjavík,https://www.transfermarkt.com/fram-reykjavik/kader/verein/3832/saison_id/2023,1720000
Besta deild,KA Akureyri,https://www.transfermarkt.com/ka-akureyri/kader/verein/1839/saison_id/2023,1710000
Besta deild,Vestri Ísafjördur,https://www.transfermarkt.com/vestri-isafjordur/kader/verein/29224/saison_id/2023,1660000
Besta deild,HK Kópavogs,https://www.transfermarkt.com/hk-kopavogs/kader/verein/11382/saison_id/2023,1110000
Besta deild,Fylkir Reykjavík,https://www.transfermarkt.com/fylkir-reykjavik/kader/verein/2576/saison_id/2023,840000
Premier Division,Shamrock Rovers,https://www.transfermarkt.com/shamrock-rovers/kader/verein/3258/saison_id/2023,4550000
Premier Division,St. Patrick's Athletic,https://www.transfermarkt.com/st-patricks-athletic/kader/verein/1189/saison_id/2023,4050000
Premier Division,Bohemian Football Club,https://www.transfermarkt.com/bohemian-football-club/kader/verein/9211/saison_id/2023,3630000
Premier Division,Derry City,https://www.transfermarkt.com/derry-city/kader/verein/920/saison_id/2023,3300000
Premier Division,Shelbourne FC,https://www.transfermarkt.com/shelbourne-fc/kader/verein/3909/saison_id/2023,2580000
Premier Division,Sligo Rovers,https://www.transfermarkt.com/sligo-rovers/kader/verein/8780/saison_id/2023,2000000
Premier Division,Galway United FC,https://www.transfermarkt.com/galway-united-fc/kader/verein/42394/saison_id/2023,1880000
Premier Division,Dundalk FC,https://www.transfermarkt.com/dundalk-fc/kader/verein/6066/saison_id/2023,1750000
Premier Division,Waterford FC,https://www.transfermarkt.com/waterford-fc/kader/verein/7609/saison_id/2023,1680000
Premier Division,Drogheda United FC,https://www.transfermarkt.com/drogheda-united-fc/kader/verein/4277/saison_id/2023,1630000
Super Liga,FC Sheriff Tiraspol,https://www.transfermarkt.com/fc-sheriff-tiraspol/kader/verein/2481/saison_id/2024,10080000
Super Liga,FC Petrocub Hincesti,https://www.transfermarkt.com/fc-petrocub-hincesti/kader/verein/46643/saison_id/2024,5150000
Super Liga,FC Zimbru Chisinau,https://www.transfermarkt.com/fc-zimbru-chisinau/kader/verein/2714/saison_id/2024,4010000
Super Liga,FC Milsami Orhei,https://www.transfermarkt.com/fc-milsami-orhei/kader/verein/30686/saison_id/2024,2950000
Super Liga,FC Balti,https://www.transfermarkt.com/fc-balti/kader/verein/83016/saison_id/2024,1330000
Super Liga,CSF Spartanii Sportul Selemet,https://www.transfermarkt.com/csf-spartanii-sportul-selemet/kader/verein/73711/saison_id/2024,1330000
Super Liga,FC Floresti,https://www.transfermarkt.com/fc-floresti/kader/verein/68502/saison_id/2024,810000
Super Liga,Dacia Buiucani,https://www.transfermarkt.com/dacia-buiucani/kader/verein/39003/saison_id/2024,785000
Prva liga,Struga Trim & Lum,https://www.transfermarkt.com/struga-trim-amp-lum/kader/verein/64534/saison_id/2024,5500000
Prva liga,Shkendija Tetovo,https://www.transfermarkt.com/shkendija-tetovo/kader/verein/1167/saison_id/2024,5240000
Prva liga,AP Brera Strumica,https://www.transfermarkt.com/ap-brera-strumica/kader/verein/45935/saison_id/2024,4650000
Prva liga,FC Shkupi,https://www.transfermarkt.com/fc-shkupi/kader/verein/4644/saison_id/2024,3900000
Prva liga,Rabotnicki Skopje,https://www.transfermarkt.com/rabotnicki-skopje/kader/verein/4641/saison_id/2024,3680000
Prva liga,Gostivar,https://www.transfermarkt.com/gostivar/kader/verein/36470/saison_id/2024,3450000
Prva liga,Sileks Kratovo,https://www.transfermarkt.com/sileks-kratovo/kader/verein/535/saison_id/2024,3260000
Prva liga,Tikves Kavadarci,https://www.transfermarkt.com/tikves-kavadarci/kader/verein/8969/saison_id/2024,3140000
Prva liga,Vardar Skopje,https://www.transfermarkt.com/vardar-skopje/kader/verein/77/saison_id/2024,2930000
Prva liga,Besa Dobri Dol,https://www.transfermarkt.com/besa-dobri-dol/kader/verein/95578/saison_id/2024,2590000
Prva liga,Pelister Bitola,https://www.transfermarkt.com/pelister-bitola/kader/verein/534/saison_id/2024,2270000
Prva liga,Voska Sport,https://www.transfermarkt.com/voska-sport/kader/verein/91395/saison_id/2024,2080000
Veikkausliiga,HJK Helsinki,https://www.transfermarkt.com/hjk-helsinki/kader/verein/1008/saison_id/2023,6850000
Veikkausliiga,Kuopion Palloseura,https://www.transfermarkt.com/kuopion-palloseura/kader/verein/6251/saison_id/2023,6130000
Veikkausliiga,Ilves Tampere,https://www.transfermarkt.com/ilves-tampere/kader/verein/3189/saison_id/2023,5280000
Veikkausliiga,SJK Seinäjoki,https://www.transfermarkt.com/sjk-seinajoki/kader/verein/23777/saison_id/2023,4400000
Veikkausliiga,AC Oulu,https://www.transfermarkt.com/ac-oulu/kader/verein/7008/saison_id/2023,4330000
Veikkausliiga,FC Inter Turku,https://www.transfermarkt.com/fc-inter-turku/kader/verein/8042/saison_id/2023,3930000
Veikkausliiga,FC Haka,https://www.transfermarkt.com/fc-haka/kader/verein/1225/saison_id/2023,3700000
Veikkausliiga,Vaasan Palloseura,https://www.transfermarkt.com/vaasan-palloseura/kader/verein/1102/saison_id/2023,3650000
Veikkausliiga,FC Lahti,https://www.transfermarkt.com/fc-lahti/kader/verein/2925/saison_id/2023,3050000
Veikkausliiga,IFK Mariehamn,https://www.transfermarkt.com/ifk-mariehamn/kader/verein/6017/saison_id/2023,2930000
Veikkausliiga,IF Gnistan,https://www.transfermarkt.com/if-gnistan/kader/verein/23564/saison_id/2023,2780000
Veikkausliiga,Ekenäs IF,https://www.transfermarkt.com/ekenas-if/kader/verein/22890/saison_id/2023,2300000
Bardzraguyn khumb,FC Noah Yerevan,https://www.transfermarkt.com/fc-noah-yerevan/kader/verein/60368/saison_id/2024,7760000
Bardzraguyn khumb,FC Pyunik Yerevan,https://www.transfermarkt.com/fc-pyunik-yerevan/kader/verein/10301/saison_id/2024,6100000
Bardzraguyn khumb,FC Ararat-Armenia,https://www.transfermarkt.com/fc-ararat-armenia/kader/verein/53453/saison_id/2024,5830000
